"Минер","Дата","ID товара","Товар","Количество"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","2"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","1"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","2"
"westmuslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","5"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","2"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","2"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","1"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","2"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","1"
"Kurik_One","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,25"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","5"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","1"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","1"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","1"
"Kurik_One","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,25"
"Kurik_One","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,25"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","5"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","1"
"Muslimchaika","03.01.2021","91842","Ice-o-Lator CRITICAL 2020","1"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","5"
"Muslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","2"
"westmuslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","10"
"Muslimchaika","03.01.2021","91842","Ice-o-Lator CRITICAL 2020","5"
"westmuslimchaika","03.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","20"
